Timestamp,CurrentEmails,CurrentEmails01,TargetEmails,TargetEmails01,Overwhelmed,Overwhelmed01,CurrentPosition,CurrentPosition01,Age,Age01
2016/10/24 1:04:10 PM EST,<20,2,Inbox zero!!!,1,Always,5,Assistant professor,5,35-44,3
2016/10/24 1:06:43 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Postdoc,3,35-44,3
2016/10/24 1:08:57 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,.,.,25-34,2
2016/10/24 1:18:35 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 1:20:44 PM EST,>500,6,>500,6,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 1:32:15 PM EST,20-50,3,20-50,3,Sometimes,3,Scientist at an NGO/non-profit,11,25-34,2
2016/10/24 1:39:18 PM EST,20-50,3,<20,2,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 1:40:41 PM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 1:40:52 PM EST,<20,2,<20,2,Rarely,2,Postdoc,3,25-34,2
2016/10/24 1:44:22 PM EST,>500,6,>500,6,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 1:46:39 PM EST,<20,2,<20,2,Sometimes,3,Research scientist in academia,4,35-44,3
2016/10/24 1:46:49 PM EST,<20,2,<20,2,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 1:47:24 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 1:49:03 PM EST,<20,2,<20,2,Rarely,2,Grad student,2,25-34,2
2016/10/24 1:49:19 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Postdoc,3,25-34,2
2016/10/24 1:52:27 PM EST,>500,6,50-100,4,Always,5,Full professor,7,35-44,3
2016/10/24 1:53:59 PM EST,<20,2,<20,2,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 1:55:02 PM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Postdoc,3,25-34,2
2016/10/24 1:59:31 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Full professor,7,35-44,3
2016/10/24 10:00:00 PM EST,100-500,5,I don't care how many emails are in my inbox,7,Sometimes,3,Grad student,2,25-34,2
2016/10/24 10:02:13 AM EST,<20,2,.,.,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 10:07:36 AM EST,20-50,3,<20,2,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 10:14:19 AM EST,>500,6,100-500,5,Always,5,Associate professor,6,35-44,3
2016/10/24 10:16:20 AM EST,<20,2,<20,2,Sometimes,3,Postdoc,3,35-44,3
2016/10/24 10:18:46 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Never,1,Research scientist in academia,4,25-34,2
2016/10/24 10:21:03 AM EST,100-500,5,100-500,5,Sometimes,3,Scientist at an NGO/non-profit,11,35-44,3
2016/10/24 10:29:37 PM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 10:31:11 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 10:31:47 PM EST,>500,6,20-50,3,Always,5,Other government position,12,35-44,3
2016/10/24 10:33:00 AM EST,<20,2,<20,2,Sometimes,3,Associate professor,6,45-54,4
2016/10/24 10:33:29 AM EST,100-500,5,<20,2,Sometimes,3,Research scientist in industry,9,35-44,3
2016/10/24 10:34:42 AM EST,100-500,5,Inbox zero!!!,1,Always,5,Assistant professor,5,25-34,2
2016/10/24 10:47:30 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 10:51:21 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Full professor,7,45-54,4
2016/10/24 10:58:34 AM EST,>500,6,I don't care how many emails are in my inbox,7,Always,5,Research scientist in academia,4,25-34,2
2016/10/24 10:58:37 AM EST,100-500,5,50-100,4,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 10:59:40 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Research scientist in academia,4,25-34,2
2016/10/24 11:00:48 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Scientist at an NGO/non-profit,11,35-44,3
2016/10/24 11:03:16 AM EST,>500,6,I don't care how many emails are in my inbox,7,Rarely,2,Postdoc,3,25-34,2
2016/10/24 11:04:24 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Research scientist in academia,4,35-44,3
2016/10/24 11:07:08 AM EST,<20,2,<20,2,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 11:11:53 AM EST,50-100,4,<20,2,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 11:11:53 PM EST,>500,6,I don't care how many emails are in my inbox,7,Always,5,Full professor,7,45-54,4
2016/10/24 11:14:51 AM EST,50-100,4,<20,2,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 11:17:30 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 11:22:52 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,25-34,2
2016/10/24 11:24:20 AM EST,50-100,4,<20,2,Most of the time,4,Assistant professor,5,25-34,2
2016/10/24 11:24:52 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Research scientist in government,10,25-34,2
2016/10/24 11:25:51 PM EST,>500,6,>500,6,Most of the time,4,Grad student,2,25-34,2
2016/10/24 11:29:29 PM EST,>500,6,I don't care how many emails are in my inbox,7,Always,5,Associate professor,6,45-54,4
2016/10/24 11:32:13 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 11:33:13 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 11:37:20 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Postdoc,3,35-44,3
2016/10/24 11:37:41 AM EST,<20,2,I don't care how many emails are in my inbox,7,Never,1,Grad student,2,25-34,2
2016/10/24 11:39:13 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Full professor,7,45-54,4
2016/10/24 11:39:51 AM EST,20-50,3,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 11:42:22 AM EST,20-50,3,<20,2,Sometimes,3,Grad student,2,<25,1
2016/10/24 11:47:41 AM EST,>500,6,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 11:56:08 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 11:57:01 AM EST,<20,2,<20,2,Sometimes,3,Postdoc,3,35-44,3
2016/10/24 11:59:29 AM EST,50-100,4,<20,2,Most of the time,4,Full professor,7,35-44,3
2016/10/24 12:03:43 PM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 12:07:31 PM EST,<20,2,<20,2,Rarely,2,Research scientist in government,10,25-34,2
2016/10/24 12:25:14 PM EST,<20,2,Inbox zero!!!,1,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 12:26:30 PM EST,>500,6,I don't care how many emails are in my inbox,7,Rarely,2,Full professor,7,55-64,5
2016/10/24 12:27:06 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Associate professor,6,45-54,4
2016/10/24 12:30:50 PM EST,<20,2,<20,2,.,.,Full professor,7,45-54,4
2016/10/24 12:34:24 PM EST,Inbox zero!!!,1,<20,2,Most of the time,4,Postdoc,3,25-34,2
2016/10/24 12:43:21 PM EST,>500,6,<20,2,Always,5,Associate professor,6,35-44,3
2016/10/24 2:00:06 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 2:01:08 PM EST,50-100,4,<20,2,Most of the time,4,Postdoc,3,25-34,2
2016/10/24 2:01:58 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 2:06:50 PM EST,20-50,3,<20,2,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 2:29:37 PM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 2:30:45 PM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 2:34:08 PM EST,20-50,3,<20,2,Sometimes,3,Grad student,2,<25,1
2016/10/24 2:34:43 PM EST,<20,2,<20,2,Sometimes,3,Full professor,7,45-54,4
2016/10/24 2:41:19 PM EST,100-500,5,20-50,3,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 2:43:32 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Full professor,7,35-44,3
2016/10/24 2:49:32 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 2:49:56 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 2:55:00 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 2:58:38 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 3:06:57 PM EST,>500,6,I don't care how many emails are in my inbox,7,Rarely,2,Research scientist in academia,4,35-44,3
2016/10/24 3:11:35 PM EST,.,.,<20,2,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 3:17:15 PM EST,>500,6,Inbox zero!!!,1,Most of the time,4,Postdoc,3,25-34,2
2016/10/24 3:18:28 PM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 3:23:08 PM EST,100-500,5,20-50,3,Most of the time,4,Assistant professor,5,25-34,2
2016/10/24 3:29:34 PM EST,<20,2,<20,2,Rarely,2,Assistant professor,5,35-44,3
2016/10/24 3:42:37 PM EST,<20,2,<20,2,Sometimes,3,Grad student,2,25-34,2
2016/10/24 3:48:21 PM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Postdoc,3,35-44,3
2016/10/24 3:51:15 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 3:51:34 PM EST,50-100,4,Inbox zero!!!,1,Always,5,Scientist at an NGO/non-profit,11,45-54,4
2016/10/24 3:56:46 PM EST,<20,2,<20,2,Rarely,2,Other government position,12,45-54,4
2016/10/24 4:00:51 PM EST,<20,2,<20,2,Rarely,2,Grad student,2,<25,1
2016/10/24 4:24:19 PM EST,20-50,3,<20,2,Rarely,2,Research scientist in government,10,45-54,4
2016/10/24 4:28:46 PM EST,50-100,4,Inbox zero!!!,1,Most of the time,4,Grad student,2,25-34,2
2016/10/24 4:30:11 PM EST,20-50,3,<20,2,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 4:35:24 PM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 4:36:28 PM EST,.,.,100-500,5,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 4:51:05 PM EST,100-500,5,I don't care how many emails are in my inbox,7,Sometimes,3,Scientist at an NGO/non-profit,11,25-34,2
2016/10/24 5:00:59 PM EST,>500,6,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 5:07:07 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 5:15:44 PM EST,>500,6,I don't care how many emails are in my inbox,7,Rarely,2,Grad student,2,25-34,2
2016/10/24 5:22:46 PM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 5:23:32 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 5:27:57 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 5:28:59 AM EST,<20,2,<20,2,Rarely,2,Associate professor,6,35-44,3
2016/10/24 5:32:19 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 5:33:03 AM EST,<20,2,<20,2,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 5:33:18 AM EST,20-50,3,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 5:33:50 AM EST,>500,6,20-50,3,Sometimes,3,Research scientist in academia,4,35-44,3
2016/10/24 5:34:30 AM EST,100-500,5,Inbox zero!!!,1,Sometimes,3,Full professor,7,55-64,5
2016/10/24 5:34:35 PM EST,50-100,4,<20,2,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 5:35:09 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,<25,1
2016/10/24 5:35:09 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Research scientist in academia,4,35-44,3
2016/10/24 5:35:59 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 5:36:12 AM EST,20-50,3,I don't care how many emails are in my inbox,7,Rarely,2,Postdoc,3,25-34,2
2016/10/24 5:38:03 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,<25,1
2016/10/24 5:38:44 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Research scientist in government,10,35-44,3
2016/10/24 5:39:56 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Associate professor,6,45-54,4
2016/10/24 5:41:26 PM EST,20-50,3,20-50,3,Sometimes,3,Grad student,2,25-34,2
2016/10/24 5:42:20 AM EST,20-50,3,<20,2,Rarely,2,Postdoc,3,25-34,2
2016/10/24 5:42:51 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Full professor,7,45-54,4
2016/10/24 5:43:20 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Full professor,7,45-54,4
2016/10/24 5:44:12 AM EST,20-50,3,Inbox zero!!!,1,Sometimes,3,Research scientist in academia,4,35-44,3
2016/10/24 5:45:23 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Most of the time,4,Postdoc,3,35-44,3
2016/10/24 5:47:42 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Assistant professor,5,35-44,3
2016/10/24 5:48:20 AM EST,<20,2,<20,2,Rarely,2,Research scientist in academia,4,25-34,2
2016/10/24 5:48:57 PM EST,20-50,3,Inbox zero!!!,1,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 5:49:10 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Full professor,7,45-54,4
2016/10/24 5:49:15 AM EST,50-100,4,<20,2,Sometimes,3,Full professor,7,45-54,4
2016/10/24 5:50:48 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Postdoc,3,25-34,2
2016/10/24 5:52:20 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Postdoc,3,25-34,2
2016/10/24 5:52:57 AM EST,>500,6,I don't care how many emails are in my inbox,7,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 5:54:16 AM EST,>500,6,I don't care how many emails are in my inbox,7,Always,5,Research scientist in industry,9,25-34,2
2016/10/24 5:54:54 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,25-34,2
2016/10/24 5:57:08 PM EST,20-50,3,<20,2,Sometimes,3,Associate professor,6,45-54,4
2016/10/24 5:58:43 AM EST,50-100,4,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,25-34,2
2016/10/24 5:59:31 AM EST,100-500,5,I don't care how many emails are in my inbox,7,Sometimes,3,Grad student,2,25-34,2
2016/10/24 6:00:29 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 6:01:08 AM EST,50-100,4,100-500,5,Most of the time,4,Grad student,2,25-34,2
2016/10/24 6:01:08 AM EST,<20,2,<20,2,Rarely,2,Grad student,2,25-34,2
2016/10/24 6:03:26 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Research scientist in academia,4,35-44,3
2016/10/24 6:07:49 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Never,1,Postdoc,3,25-34,2
2016/10/24 6:07:54 AM EST,20-50,3,<20,2,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 6:15:10 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Never,1,Associate professor,6,45-54,4
2016/10/24 6:15:52 AM EST,.,.,100-500,5,Always,5,Associate professor,6,35-44,3
2016/10/24 6:17:03 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Grad student,2,25-34,2
2016/10/24 6:17:37 AM EST,20-50,3,<20,2,Sometimes,3,Full professor,7,35-44,3
2016/10/24 6:20:30 AM EST,100-500,5,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 6:24:06 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 6:25:50 PM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 6:26:17 AM EST,<20,2,<20,2,Rarely,2,Postdoc,3,25-34,2
2016/10/24 6:29:03 PM EST,50-100,4,I don't care how many emails are in my inbox,7,Never,1,Research scientist in government,10,35-44,3
2016/10/24 6:32:31 AM EST,20-50,3,<20,2,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 6:32:50 AM EST,100-500,5,I don't care how many emails are in my inbox,7,Sometimes,3,Grad student,2,25-34,2
2016/10/24 6:32:51 AM EST,>500,6,>500,6,Sometimes,3,Associate professor,6,25-34,2
2016/10/24 6:33:50 AM EST,<20,2,<20,2,Rarely,2,Postdoc,3,25-34,2
2016/10/24 6:35:12 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Assistant professor,5,25-34,2
2016/10/24 6:35:49 AM EST,>500,6,Inbox zero!!!,1,Most of the time,4,Other,13,25-34,2
2016/10/24 6:35:58 AM EST,100-500,5,20-50,3,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 6:38:55 AM EST,<20,2,Inbox zero!!!,1,Sometimes,3,Associate professor,6,35-44,3
2016/10/24 6:39:09 AM EST,20-50,3,<20,2,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 6:41:57 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 6:43:10 PM EST,20-50,3,<20,2,Sometimes,3,Undergraduate student,1,25-34,2
2016/10/24 6:43:22 AM EST,20-50,3,<20,2,Sometimes,3,Scientist at an NGO/non-profit,11,25-34,2
2016/10/24 6:43:24 AM EST,>500,6,I don't care how many emails are in my inbox,7,Sometimes,3,Assistant professor,5,35-44,3
2016/10/24 6:45:49 AM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Grad student,2,25-34,2
2016/10/24 6:52:01 AM EST,.,.,>500,6,Sometimes,3,Other,13,45-54,4
2016/10/24 6:53:40 AM EST,50-100,4,Inbox zero!!!,1,Most of the time,4,Assistant professor,5,35-44,3
2016/10/24 6:54:53 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 6:57:53 PM EST,<20,2,Inbox zero!!!,1,Most of the time,4,Associate professor,6,35-44,3
2016/10/24 7:00:18 AM EST,<20,2,<20,2,Most of the time,4,Full professor,7,25-34,2
2016/10/24 7:00:24 AM EST,<20,2,<20,2,Sometimes,3,Grad student,2,25-34,2
2016/10/24 7:01:23 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Rarely,2,Grad student,2,25-34,2
2016/10/24 7:01:23 AM EST,>500,6,20-50,3,Most of the time,4,Scientist at an NGO/non-profit,11,35-44,3
2016/10/24 7:03:53 AM EST,20-50,3,20-50,3,Sometimes,3,Assistant professor,5,25-34,2
2016/10/24 7:10:24 AM EST,<20,2,Inbox zero!!!,1,Rarely,2,Assistant professor,5,35-44,3
2016/10/24 7:11:37 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
2016/10/24 7:15:44 AM EST,50-100,4,<20,2,Always,5,Other,13,45-54,4
2016/10/24 7:15:57 AM EST,Inbox zero!!!,1,Inbox zero!!!,1,Sometimes,3,Postdoc,3,25-34,2
